exam_subject_id,program_year_id,year,subject_slot,subject_id,subject_name_raw,subject_name_std,score_max,exam_duration_minutes,exam_method,source_id,source_locator
EXAM-563e116f-2c88-5418-831e-0166d55380b9,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-d9444015-7a36-5b62-9cf7-4b1dddbeb2e7,PY-020af4f4-756d-52f1-bedf-da1fb4f791e3,2024,professional_1,SUBJ-02b2bcf6-0a2f-557b-a16f-927e9b10fb56,教育学,教育学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-423053a0-a6a5-5b6a-ae91-0a20e05c1aa8,PY-020af4f4-756d-52f1-bedf-da1fb4f791e3,2024,professional_2,SUBJ-ce62e9a7-e2d2-5f09-b201-6cffb1f9685f,心理学,心理学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-870a5f5d-a93b-5d46-95d4-effae2b6e05d,PY-020af4f4-756d-52f1-bedf-da1fb4f791e3,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-e33887f7-314f-5c83-b873-21be6cbbe329,PY-020af4f4-756d-52f1-bedf-da1fb4f791e3,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-53371751-461b-53d8-a1dd-15ce2606181b,PY-6c06c71f-3a0c-540c-849d-0db19bc3a05c,2024,professional_1,SUBJ-02b2bcf6-0a2f-557b-a16f-927e9b10fb56,教育学,教育学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-0378714b-b5ac-53ed-9647-8b46a93fd1be,PY-6c06c71f-3a0c-540c-849d-0db19bc3a05c,2024,professional_2,SUBJ-ce62e9a7-e2d2-5f09-b201-6cffb1f9685f,心理学,心理学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-9e2cce77-c194-5d26-861b-f0fa10ed06b4,PY-6c06c71f-3a0c-540c-849d-0db19bc3a05c,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-d42f5ca4-5e82-5df5-acd0-3f9f535e5297,PY-6c06c71f-3a0c-540c-849d-0db19bc3a05c,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-2b212045-8f1e-5c68-ac07-02c3084f34ae,PY-2ea256ce-e1f9-511b-b897-0b35b9549b96,2024,professional_1,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,管理学原理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-918ad6d7-376b-58a4-83b2-dd42344c284f,PY-2ea256ce-e1f9-511b-b897-0b35b9549b96,2024,professional_2,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,会计学原理,会计学原理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-8f721961-2825-566f-b3eb-fcd2fc5093dc,PY-2ea256ce-e1f9-511b-b897-0b35b9549b96,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-fa1f3d49-0c6b-5a78-b889-fd1493e24756,PY-2ea256ce-e1f9-511b-b897-0b35b9549b96,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-ffdff83a-a34c-5240-850b-b7df5a8d76b9,PY-08a324b9-551b-5fed-b1f0-52e51932edf5,2024,professional_1,SUBJ-1187ecff-f02c-5290-8d46-b7a9749ff165,C语言程序设计,C语言程序设计,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""数据科学与大数据技术"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-95a88b33-a5b5-57ef-b35b-da7492dd7480,PY-08a324b9-551b-5fed-b1f0-52e51932edf5,2024,professional_2,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,数据结构,数据结构,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""数据科学与大数据技术"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
