enrollment_plan_id,offering_id,plan_type,plan_value,value_status,plan_version,announcement_date,is_derived,derivation_method,raw_value,source_id,source_locator
PLAN-5edf8b18-6610-5510-8b36-6cde903b1878,OFF-466442ff-30db-54dc-838c-f7fca01e0584,retired_soldier_culture_exam_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-91ba84f5-59c4-5c98-b786-be90f2a3a60b,OFF-466442ff-30db-54dc-838c-f7fca01e0584,retired_soldier_non_exempt,1,explicit_value,original,2024-03-21,false,,1,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-a45010a5-01a3-5aa9-908a-c18b551f76ee,OFF-466442ff-30db-54dc-838c-f7fca01e0584,registered_poor_family,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-fd75d000-864a-595a-a4ba-b452a51b45ee,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,total,120,explicit_value,original,2024-03-21,false,,120,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-791952ed-5f46-58f0-88e0-26a31e61df57,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,retired_soldier_culture_exam_exempt,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-1d330b78-f03e-52da-bc87-9a855e854fe8,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,retired_soldier_non_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-e997b402-46c7-5219-8497-770726af0443,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,registered_poor_family,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-5b142dbe-43f2-5075-a133-967f206e1e62,OFF-3755268a-acbb-5656-b916-b3c36751c2d3,total,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""历史学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-8436b0e5-cd83-5f7a-8942-e1831e427db6,OFF-3755268a-acbb-5656-b916-b3c36751c2d3,retired_soldier_culture_exam_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""历史学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-37cb5d6f-89f9-54d5-b107-6e6d3c56b623,OFF-3755268a-acbb-5656-b916-b3c36751c2d3,retired_soldier_non_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""历史学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-29c4178f-f9ec-5842-8b1d-a3ffa6d0a33b,OFF-3755268a-acbb-5656-b916-b3c36751c2d3,registered_poor_family,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""历史学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-566c7f68-b90c-5c24-85d7-c8673e7ed168,OFF-a7bf120a-dc4a-5ec9-aced-e4651a795afe,total,120,explicit_value,original,2024-03-21,false,,120,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-be5b574d-72c4-54aa-ab55-df1438902edb,OFF-a7bf120a-dc4a-5ec9-aced-e4651a795afe,retired_soldier_culture_exam_exempt,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-d7cd9c5e-8c21-5d89-b0dc-51e2edf8db79,OFF-a7bf120a-dc4a-5ec9-aced-e4651a795afe,retired_soldier_non_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-3b456202-13cb-5684-9e79-efcac39e9332,OFF-a7bf120a-dc4a-5ec9-aced-e4651a795afe,registered_poor_family,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-4192e1ad-d689-5188-a3f2-6caa0886a290,OFF-0cea55c4-0162-5c49-adf4-b170df56aca6,total,120,explicit_value,original,2024-03-21,false,,120,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
