reference_book_id,program_year_id,subject_id,book_name,author,publisher,edition,isbn,source_id,source_locator
BOOK-e03db001-5473-5d14-a71e-1a9f52f46765,PY-7d7a90df-6856-5ed4-bd80-3bb9f115e50c,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,基础会计,张凤明、唐淑文编著,立信会计出版社,第一版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":8,""row_key"":""财务管理|会计学原理|基础会计"",""section"":""参考书目""}"
BOOK-4f833765-bc98-5867-b9db-0c95d3ab7c21,PY-c544ae6e-925e-5611-ba09-a410dc123c8f,SUBJ-1187ecff-f02c-5290-8d46-b7a9749ff165,C 语言程序设计,苏小红等编著,高等教育出版社,第4版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":56,""row_key"":""软件工程|C语言程序设计|C 语言程序设计"",""section"":""参考书目""}"
BOOK-20d95a58-3573-57d5-b080-7469a9287663,PY-74a22726-dc05-5e0a-9bb4-28bd097e2929,SUBJ-1187ecff-f02c-5290-8d46-b7a9749ff165,C语言程序设计,苏小红等编著,高等教育出版社,第4版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":40,""row_key"":""软件工程|C语言程序设计|C语言程序设计"",""section"":""参考书目""}"
BOOK-4e0b5954-1064-5201-8f9e-48e896b8d69f,PY-87d007a8-7d28-5978-b3e0-0878b10e64b2,SUBJ-1187ecff-f02c-5290-8d46-b7a9749ff165,C语言程序设计,苏小红等编著,高等教育出版社,第4版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":41,""row_key"":""软件工程|C语言程序设计|C语言程序设计"",""section"":""参考书目""}"
BOOK-a0e2d55c-305f-53b1-87d0-b7470994f6f7,PY-c544ae6e-925e-5611-ba09-a410dc123c8f,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,数据结构,严蔚敏、李冬梅、吴伟民编著,人民邮电出版社,第2版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":57,""row_key"":""软件工程|数据结构|数据结构"",""section"":""参考书目""}"
BOOK-ac6b437a-d5b2-50c3-b50a-3692a4fe4784,PY-74a22726-dc05-5e0a-9bb4-28bd097e2929,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,数据结构,严蔚敏、李冬梅、吴伟民编著,人民邮电出版社,第2版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":41,""row_key"":""软件工程|数据结构|数据结构"",""section"":""参考书目""}"
BOOK-b1bb5c04-43ee-59b7-baac-25ea8a02b099,PY-87d007a8-7d28-5978-b3e0-0878b10e64b2,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,数据结构,李冬梅、严蔚敏、吴伟民编著,人民邮电出版社,第3版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":42,""row_key"":""软件工程|数据结构|数据结构"",""section"":""参考书目""}"
BOOK-58281692-4386-593a-b3ba-7c72c7dab543,PY-74a22726-dc05-5e0a-9bb4-28bd097e2929,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,新编数据结构习题与解析,李春葆、喻丹丹、曾平、曾慧编著,清华大学出版社,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":41,""row_key"":""软件工程|数据结构|新编数据结构习题与解析"",""section"":""参考书目""}"
BOOK-758c7ba7-9192-5576-a05f-6a020411013a,PY-c544ae6e-925e-5611-ba09-a410dc123c8f,SUBJ-ee125cd5-c186-5634-a89b-cfb306ee74c3,新编数据结构习题与解析,李春葆、喻丹丹、曾平、曾慧编著,清华大学出版社,,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":57,""row_key"":""软件工程|数据结构|新编数据结构习题与解析"",""section"":""参考书目""}"
BOOK-3bad39c5-1023-5068-9dcc-1a0a393bbb24,PY-affbb6ae-8b72-59de-9a6f-ca8898ee35cf,SUBJ-26a1c76a-73cb-50b2-a6ad-138251b69ad9,运动生理学,邓树勋主编,高等教育出版社,第三版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":27,""row_key"":""运动康复|运动解剖生理学|运动生理学"",""section"":""参考书目""}"
BOOK-91040079-5b0f-5b29-824d-05bddbcc3bb1,PY-affbb6ae-8b72-59de-9a6f-ca8898ee35cf,SUBJ-26a1c76a-73cb-50b2-a6ad-138251b69ad9,运动解剖学,李世昌,高等教育出版社,第三版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":27,""row_key"":""运动康复|运动解剖生理学|运动解剖学"",""section"":""参考书目""}"
