asset_id,source_document_id,local_path,file_name,original_file_name,asset_type,mime_type,file_size,sha256,retrieved_at,parent_asset_id,parser_name,parser_version,generated_at
ASSET-HFNU-2024-ZC-CLEAN,SRC-HFNU-2024-ZC,raw/2024/HFNU/DOC-HFNU-2024-ZC_clean.txt,DOC-HFNU-2024-ZC_clean.txt,2024_招生章程_clean.txt,parsed_text,text/plain,34348,c72219a2ffb237090b926017834725ddd4430a2a12e380bd582b04d6135bc194,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2024-ZC-HTML,,,
ASSET-HFNU-2024-ZC-HTML,SRC-HFNU-2024-ZC,raw/2024/HFNU/DOC-HFNU-2024-ZC.html,DOC-HFNU-2024-ZC.html,2024_招生章程.html,raw_document,text/html,80553,287a0ad40dd786ed6ba0f85f735677232b1e636e90a1b0ab15a3949e348176a5,2026-08-14T14:18:01.003588+00:00,,,,
ASSET-HFNU-2024-ZC-META,SRC-HFNU-2024-ZC,raw/2024/HFNU/DOC-HFNU-2024-ZC_metadata.json,DOC-HFNU-2024-ZC_metadata.json,2024_招生章程_metadata.json,metadata,application/json,548,41a76a466272b2c1738ac018477a7ed4d4bb8760f33b135578158e6d6fcdb1d7,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2024-ZC-HTML,,,
ASSET-HFNU-2025-LQ-CLEAN,SRC-HFNU-2025-LQ,raw/2025/HFNU/DOC-HFNU-2025-LQ_clean.txt,DOC-HFNU-2025-LQ_clean.txt,2025_录取分数线_clean.txt,parsed_text,text/plain,4497,39d7231be6b3d48852f1767dd52edc78ba156cee7b28f937583566f7fe1b4da0,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2025-LQ-HTML,,,
ASSET-HFNU-2025-LQ-HTML,SRC-HFNU-2025-LQ,raw/2025/HFNU/DOC-HFNU-2025-LQ.html,DOC-HFNU-2025-LQ.html,2025_录取分数线.html,raw_document,text/html,117971,af0d182d21e6daccf20fb8c9e6bbc2d261d858978bb665977299095974ad9bb7,2026-08-14T14:18:01.003588+00:00,,,,
ASSET-HFNU-2025-LQ-META,SRC-HFNU-2025-LQ,raw/2025/HFNU/DOC-HFNU-2025-LQ_metadata.json,DOC-HFNU-2025-LQ_metadata.json,2025_录取分数线_metadata.json,metadata,application/json,572,9c50430e838f7370a09f50cee0dd216218a40db7a8040fde83cdbf615963065d,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2025-LQ-HTML,,,
ASSET-HFNU-2025-ZC-PARSED-TXT,SRC-HFNU-2025-ZC,raw/2025/HFNU/DOC-HFNU-2025-ZC_parsed.txt,DOC-HFNU-2025-ZC_parsed.txt,2025_招生章程_parsed.txt,parsed_text,text/plain,42871,739172ebf8877b594ef586e39f1969ebd7bc6c72c0135c113b37e344879182ab,2026-08-14,ASSET-HFNU-2025-ZC-PDF,legacy_pdf_parser,unknown,2026-08-14
ASSET-HFNU-2025-ZC-PDF,SRC-HFNU-2025-ZC,raw/2025/HFNU/DOC-HFNU-2025-ZC.pdf,DOC-HFNU-2025-ZC.pdf,2025_合肥师范学院_招生章程_官方.pdf,raw_document,application/pdf,405194,52259c218fdb48295fb782c99244dbeb4af8efe237d8ddb63bf27f46af59168e,2026-08-14,,,,
ASSET-HFNU-2026-LQ-CLEAN,SRC-HFNU-2026-LQ,raw/2026/HFNU/DOC-HFNU-2026-LQ_clean.txt,DOC-HFNU-2026-LQ_clean.txt,2026_录取分数线_clean.txt,parsed_text,text/plain,2583,28376a5ec5b7af24b99656f3b315b1e8a6a735a2e271231d89a9a298e44fd822,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2026-LQ-PDF,,,
ASSET-HFNU-2026-LQ-HTML,SRC-HFNU-2026-LQ,raw/2026/HFNU/DOC-HFNU-2026-LQ.html,DOC-HFNU-2026-LQ.html,2026_录取分数线页面.html,raw_document,text/html,23355,09f1d78c5d0e37bce0c33cfc023aca00867fab2d98f5353c34d164409839b48e,2026-08-14T14:18:01.003588+00:00,,,,
ASSET-HFNU-2026-LQ-META,SRC-HFNU-2026-LQ,raw/2026/HFNU/DOC-HFNU-2026-LQ_metadata.json,DOC-HFNU-2026-LQ_metadata.json,2026_录取分数线_metadata.json,metadata,application/json,637,074ecb5fc3ea983cdfe4e3b8f28d44e824a22cb42721b12f59dcd3e860cc86c2,2026-08-14T14:18:01.003588+00:00,ASSET-HFNU-2026-LQ-PDF,,,
ASSET-HFNU-2026-LQ-PDF,SRC-HFNU-2026-LQ,raw/2026/HFNU/DOC-HFNU-2026-LQ.pdf,DOC-HFNU-2026-LQ.pdf,2026_录取分数线.pdf,raw_document,application/pdf,98816,8cad381fc97ae7da6c6c77fdb014158333d04a4f32f027f5ba8d0991e7ff0cc5,2026-08-14T14:18:01.003588+00:00,,,,
ASSET-HFNU-2026-ZC-PDF,SRC-HFNU-2026-ZC,raw/2026/HFNU/DOC-HFNU-2026-ZC.pdf,DOC-HFNU-2026-ZC.pdf,2026_合肥师范学院_招生章程_官方.pdf,raw_document,application/pdf,460853,dc078db203863ceaf67cab0ccd3ad89b88305753c3604709dd17f2b0c80d7a0d,2026-08-14,,,,
