record_id,year,school_id,major_name_raw,major_name_std,major_code,major_category,discipline,plan_total,training_location,campus,joint_training,joint_training_school,study_years,tuition_raw,tuition_value,remarks_raw,source_id,source_url,source_page
HFNU-2025-006,2025,HFNU,网络与新媒体,网络与新媒体,,文,,120,,锦绣校区,false,,2,5060,5060,校本部,SRC-2025-ZC,,
HFNU-2025-007,2025,HFNU,通信工程,通信工程,,理,,120,,锦绣校区,false,,2,4900,4900,校本部,SRC-2025-ZC,,
HFNU-2025-008,2025,HFNU,化学工程与工艺,化学工程与工艺,,理,,100,,锦绣校区,false,,2,4900,4900,校本部,SRC-2025-ZC,,
HFNU-2025-009,2025,HFNU,软件工程,软件工程,,理,,120,,锦绣校区,false,,2,4900,4900,校本部,SRC-2025-ZC,,
HFNU-2025-010,2025,HFNU,数据科学与大数据技术,数据科学与大数据技术,,理,,120,,锦绣校区,false,,2,4900,4900,校本部,SRC-2025-ZC,,
HFNU-2025-011,2025,HFNU,互联网金融,互联网金融,,文,,90,,锦绣校区,false,,2,4600,4600,校本部,SRC-2025-ZC,,
HFNU-2025-012,2025,HFNU,学前教育,学前教育,,文,,50,,锦绣校区,false,,2,4600,4600,"校本部, 师范",SRC-2025-ZC,,
HFNU-2025-013,2025,HFNU,生物制药,生物制药,,理,,120,,锦绣校区,false,,2,4900,4900,校本部,SRC-2025-ZC,,
HFNU-2025-014,2025,HFNU,经济统计学,经济统计学,,理,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2025-ZC,,
HFNU-2025-015,2025,HFNU,新能源材料与器件,新能源材料与器件,,理,,100,,锦绣校区,false,,2,4900,4900,校本部,SRC-2025-ZC,,
HFNU-2025-016,2025,HFNU,音乐学,音乐学,,艺术(文),,30,,锦绣校区,false,,2,8000,8000,"校本部, 师范",SRC-2025-ZC,,
HFNU-2025-017,2025,HFNU,视觉传达设计,视觉传达设计,,艺术(文),,80,,锦绣校区,false,,2,8000,8000,校本部,SRC-2025-ZC,,
HFNU-2025-018,2025,HFNU,服装与服饰设计,服装与服饰设计,,艺术(文),,50,,锦绣校区,false,,2,8000,8000,校本部,SRC-2025-ZC,,
HFNU-2025-019,2025,HFNU,动画,动画,,艺术(文),,50,,锦绣校区,false,,2,8000,8000,校本部,SRC-2025-ZC,,
HFNU-2025-020,2025,HFNU,财务管理,财务管理,,文,,40,,锦绣校区,true,安徽工业经济职业技术学院,2,5060,5060,安徽工业经济职业技术学院联合培养,SRC-2025-ZC,,
HFNU-2025-021,2025,HFNU,电气工程及其自动化,电气工程及其自动化,,理,,40,,锦绣校区,true,安徽工业经济职业技术学院,2,5390,5390,安徽工业经济职业技术学院联合培养,SRC-2025-ZC,,
HFNU-2025-022,2025,HFNU,网络工程,网络工程,,理,,40,,锦绣校区,true,安徽工业经济职业技术学院,2,4900,4900,安徽工业经济职业技术学院联合培养,SRC-2025-ZC,,
