eligibility_rule_item_id,eligibility_rule_set_id,ordinal,scope_type,include_or_exclude,category_code,category_name_raw,major_code,major_name_raw,condition_raw
ELIGITEM-2c7c87d8-0d88-5061-bcab-d8d71088e7bd,ELIGSET-36737316-681d-57f9-b425-f3e279fd5010,4,major_category,include,,土木建筑类,,,限于园林工程技术、风景园林设计2个专业
ELIGITEM-9e7d7a0f-81d9-5784-b4bb-76fade2860c2,ELIGSET-390d46d8-4bfd-5348-9b3f-878cd7720f5d,1,major_category,include,,教育与体育大类,,,
ELIGITEM-b7e2e23a-1cf4-5bed-bc3c-de6f8e1c153c,ELIGSET-390d46d8-4bfd-5348-9b3f-878cd7720f5d,2,major_category,include,,财经商贸大类,,,
ELIGITEM-c45068b1-95fd-55c6-bab8-b277435c59d2,ELIGSET-390d46d8-4bfd-5348-9b3f-878cd7720f5d,3,major_category,include,,旅游大类,,,
ELIGITEM-f8b18502-8070-5837-a030-da7d32e054f7,ELIGSET-390d46d8-4bfd-5348-9b3f-878cd7720f5d,4,major_category,include,,新闻传播大类,,,
ELIGITEM-ec46e866-d252-5d63-882b-24bd9958e3dd,ELIGSET-390d46d8-4bfd-5348-9b3f-878cd7720f5d,5,major_category,include,,文化艺术大类,,,
ELIGITEM-387dbfaa-8eca-5b55-bfce-42f53f4c9a1e,ELIGSET-390d46d8-4bfd-5348-9b3f-878cd7720f5d,6,major_category,include,,公共管理与服务大类,,,
ELIGITEM-db928d57-e2a4-5e85-9d1d-19b95e9b7f2c,ELIGSET-39143051-ee48-5756-9df6-250cea97e347,1,major_category,include,,电子与信息大类,,,
ELIGITEM-5e00eb12-82c8-5f01-bee5-fac1ff0eb4ee,ELIGSET-39143051-ee48-5756-9df6-250cea97e347,2,major_category,include,,装备制造大类,,,
ELIGITEM-0291ada9-9f6c-5c6c-bf7d-0a01ba44160b,ELIGSET-39143051-ee48-5756-9df6-250cea97e347,3,major_category,include,,能源动力与材料大类,,,
ELIGITEM-57c57c6e-9c96-59bc-b161-f4ddd5aec96a,ELIGSET-39143051-ee48-5756-9df6-250cea97e347,4,major_category,include,,交通运输大类,,,
ELIGITEM-66aa2368-f886-5ab7-9dce-14be3e00e751,ELIGSET-39143051-ee48-5756-9df6-250cea97e347,5,major_category,include,,土木建筑大类,,,
ELIGITEM-768dab8f-35be-5e34-aa32-b8386df2e536,ELIGSET-39143051-ee48-5756-9df6-250cea97e347,6,major_category,include,,水利大类,,,
ELIGITEM-05552163-ce4b-5e0e-b9d0-8b51d3648373,ELIGSET-39f24799-134e-5080-866c-ee78963bdb11,1,major_category,include,,医药卫生大类,,,
ELIGITEM-17d41d22-ba16-5fdf-a76c-efc96940128f,ELIGSET-39f24799-134e-5080-866c-ee78963bdb11,2,major_category,include,,教育与体育大类,,,限于体育类所包含专业
ELIGITEM-27896e50-f9b4-5dc8-823c-352071c7abdb,ELIGSET-445ef46f-37f9-5c19-9b56-dfc31400a44e,1,major_category,include,,电子与信息大类,,,
ELIGITEM-6944a202-9b8b-5986-adb0-096581c1b178,ELIGSET-445ef46f-37f9-5c19-9b56-dfc31400a44e,2,major_category,include,,装备制造大类,,,
ELIGITEM-9d5fd70c-80d2-5f8d-bc48-ef8b8180c6fc,ELIGSET-445ef46f-37f9-5c19-9b56-dfc31400a44e,3,major_category,include,,交通运输大类,,,
ELIGITEM-ef709fd4-a9da-5a8e-a126-814c0f867005,ELIGSET-445ef46f-37f9-5c19-9b56-dfc31400a44e,4,major_category,include,,财经商贸大类,,,
ELIGITEM-8dce2b8a-036e-5967-a128-ae1b47a3d0ad,ELIGSET-48424ebc-9ac1-54da-9504-4623712bbcc0,1,major_category,include,,文化艺术大类,,,
