path,sha256,size_bytes,mode
anhui_zsb_data/raw_acquisition/institutions/合肥经济学院/2025/2025_合肥经济学院_招生章程.pdf,4477c42b39dd71f602e31a6dc394ae555951bcc586a2f4f7d8aca304e440fccf,673795,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥经济学院/2025/2025_合肥经济学院_招生章程_text.txt,8019d10e900a5bf7e17200b6ed3fb7baca27a015c23135773e3de0ce6f996c1b,1815,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥经济学院/2026/2026_合肥经济学院_招生章程.htm,f8239a5577ac0cb66c1078f44a2ec7e8346fc6288b69aa8890c4d576147cf50e,8532,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥经济学院/2026/2026_合肥经济学院_招生章程.pdf,d9e47f1fa269c5354b7d2a9d646da90043e7f67ac3f9b60f822b77e1badfadfe,305946,0o444
anhui_zsb_data/raw_acquisition/institutions/合肥经济学院/2026/2026_合肥经济学院_招生章程_text.txt,4e7012c5e786d69f001dcfd8b324a76f952371d02d9ef646cbdf6130af059116,1815,0o444
anhui_zsb_data/raw_acquisition/institutions/安庆师范大学/2025/2025_安庆师范大学_招生章程.htm,c593b83982d39e1a7334248fc598d021a17ad0794fd2e7466d9f8dfb94688a53,8555,0o444
anhui_zsb_data/raw_acquisition/institutions/安庆师范大学/2025/2025_安庆师范大学_招生章程.pdf,212408bc76ee6478b2bdf8449b032051de71d2efa08597613db9666645b82b0d,382227,0o444
anhui_zsb_data/raw_acquisition/institutions/安庆师范大学/2025/2025_安庆师范大学_招生章程_text.txt,cd59f9ce6722ae7d87d933a34691b0d062a09adfe09f31b3f4292d83034d01c4,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安庆师范大学/2026/2026_安庆师范大学_招生章程.htm,5bd6ab6b24238ab528e9df1cf59ceb584b88c555344f96cc2918b470a92c0940,8556,0o444
anhui_zsb_data/raw_acquisition/institutions/安庆师范大学/2026/2026_安庆师范大学_招生章程.pdf,beca50c35c8d65c1565bf576d338323ba757aa43ceee7e11d91e13ddb1768f23,244134,0o444
anhui_zsb_data/raw_acquisition/institutions/安庆师范大学/2026/2026_安庆师范大学_招生章程_text.txt,a7aa88444bcf26c6ad10addee634b3262c399148604eb6c7c69693f0703ea3d4,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽三联学院/2025/2025_安徽三联学院_招生章程.htm,be19a736ab1af8dbd94ffbbf09985902c4057fbca1914a013d87f6cbcf8a64a7,8556,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽三联学院/2025/2025_安徽三联学院_招生章程.pdf,3ffce446bdbb6c4cd1568edc092cde72c1ffe94af68b3a39510dd9ad8c88f8a0,493448,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽三联学院/2025/2025_安徽三联学院_招生章程_text.txt,10add132cbde981d96a0e8744e90998fd145c6cdbf032cb4e295ba939ab4140b,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽三联学院/2026/2026_安徽三联学院_招生章程.htm,c89398037e18670d1ebb7735604fdf6ed9f979ba231ebb91b670219bba51c3c6,8556,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽三联学院/2026/2026_安徽三联学院_招生章程.pdf,2edfd4832245d9259b51f16edd1708289b451fc78e36f509faf8a5ea59321b65,239489,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽三联学院/2026/2026_安徽三联学院_招生章程_text.txt,b902e25cd51558c1291521fa132cafcf2cb5b3f52a38e2dd00c5cc5e0938c2cb,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽中医药大学/2025/2025_安徽中医药大学_招生章程.htm,19be38c736ec03686e0ac7fa4b487178e6eb416c153cd90144e032b68fa72a2f,8562,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽中医药大学/2025/2025_安徽中医药大学_招生章程.pdf,51a740a49c46c2874261fdc943ec3293e27e605095a4e6ca52dfa704cf98eac5,369631,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽中医药大学/2025/2025_安徽中医药大学_招生章程_text.txt,b015479459372fa6a4396ecc5aa31f36f80071470feba53b751dd2d17c668750,1845,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽中医药大学/2026/2026_安徽中医药大学_招生章程.htm,9ef749326723b1faedc227b3cdcb9be476969254268db4c7c5ee9285055621d3,8562,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽中医药大学/2026/2026_安徽中医药大学_招生章程.pdf,161101a02faa8b16301f7a7d5bca66aed96aec12dc656c32d9ceb1ca1783de8b,387211,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽中医药大学/2026/2026_安徽中医药大学_招生章程_text.txt,4ae6760e3986132ff44fb3d4e8a8dc623e5d7933630d6381ab60f173f9314833,1845,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽信息工程学院/2025/2025_安徽信息工程学院_招生章程.htm,acdab97635b1f4b40ce60588fc0b859ac0961b61726bac7d60bc5126122e9230,8580,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽信息工程学院/2025/2025_安徽信息工程学院_招生章程.pdf,bb17919ba66d908b571f8d1779e2ea6c333a361295590a3c02bdd43db77e0331,183121,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽信息工程学院/2025/2025_安徽信息工程学院_招生章程_text.txt,887fea22e14744119785f6f3a5db9b493697d12c81e70641ad86bf097d560a48,1863,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽信息工程学院/2026/2026_安徽信息工程学院_招生章程.htm,836a7a9bcb1d0610a1cbd724a8c56adbb14101220ad5d5d476730a49e92c65c9,148591,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽农业大学/2025/2025_安徽农业大学_招生章程.htm,19b822cf49e205840f0c541b43eb2cc43c7324623e96cc560b79b94399513cf2,8544,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽农业大学/2025/2025_安徽农业大学_招生章程.pdf,313cb4628548792ccbb3e9eaf0de46fae009b83502da9187f348341f7eb0efe0,279543,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽农业大学/2025/2025_安徽农业大学_招生章程_text.txt,833bf03b70efa82cab93da022a2777e8e1dc3c1d7fe7eab2d55e7448e00c9bd0,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽农业大学/2026/2026_安徽农业大学_招生章程.htm,0a0190b4af62f5d8515ae6bc7db283f23979f64910bf55d047fb27d144ca6c7d,8544,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽农业大学/2026/2026_安徽农业大学_招生章程.pdf,df6754995449e517ab67840c8818cf74f8db5a4e528b2cc9a2c6db96fa0953f0,262593,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽农业大学/2026/2026_安徽农业大学_招生章程_text.txt,a5314f9f6480ed4b4d6aa205a16ae8ecd61a9c4d85029b735517687c4c4f10eb,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学/2025/2025_安徽医科大学_招生章程.htm,36638941e4eeb730c19061952e1048d1bf093db4a91e4fc1c871e7c54e24942d,8543,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学/2025/2025_安徽医科大学_招生章程.pdf,564786a9873857601515827ae1ad14d9b035f581975a5a6d9ea6fcf93a28a83f,409726,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学/2025/2025_安徽医科大学_招生章程_text.txt,6a8f90b54b52418c72fe68b4199076afeb60c6b48a2d58207305ee75437775a6,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学/2026/2026_安徽医科大学_招生章程.htm,a28b40c5fe242b2f124b0ae6826045a6eb2000285f226b1f53f2c266072372a1,8546,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学/2026/2026_安徽医科大学_招生章程.pdf,0cb553b6afe10b85cd0f7bcf4205ce3d8b69ed745c7b24a9187dfedf1dd52b1a,521949,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学/2026/2026_安徽医科大学_招生章程_text.txt,74aa0fc66ea35460e7f2d092ba9260e0bfb3a4bc5b3066440a6ba34fa9c555d0,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学临床医学院/2025/2025_安徽医科大学临床医学院_招生章程.htm,869836df2a7ff6b25df426eaf43e5747e39a36cb1c2e5f4fe30af97418ed3af1,8585,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学临床医学院/2025/2025_安徽医科大学临床医学院_招生章程.pdf,b8fb6a8eae7f36f1bcd4efb56790f0831c712db09dbb391fd08dc88314d58cc2,235977,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学临床医学院/2025/2025_安徽医科大学临床医学院_招生章程_text.txt,e313e628a83495e8e2d1b167a006bf556fe9ecf118cdef89ec77511d3d584463,1869,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学临床医学院/2026/2026_安徽医科大学临床医学院_招生章程.htm,ae1dfb5774d1955fa5f07cc24ca7d0df10307868ad66d428259999de66679a2d,8586,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学临床医学院/2026/2026_安徽医科大学临床医学院_招生章程.pdf,f0ed622cc732e9a5f369df89226727c8a8903c32f946525fc496d564fdf31926,237473,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽医科大学临床医学院/2026/2026_安徽医科大学临床医学院_招生章程_text.txt,9bdfd64e2d7cdae46270b11f4e6be7f31db0eb1460b61bb23b019bbf9f9145d3,1869,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽外国语学院/2025/2025_安徽外国语学院_招生章程.htm,db9a01363d1ca42d0298b4624fe43a7bf1836f7aa5071faa3e8b9d783624d185,8565,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽外国语学院/2025/2025_安徽外国语学院_招生章程.pdf,b0b7e7f2832d7bac14f625b90e07ec4422c59fc4359b548266ba9ca0f36fc804,274775,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽外国语学院/2025/2025_安徽外国语学院_招生章程_text.txt,a3c7c2ecba8f0b575d6f9ef6ed26438cc8fe65767d68a03ff913bcecf2c938aa,1848,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽外国语学院/2026/2026_安徽外国语学院_招生章程.htm,e36b1f19aa5dfcb3f145f8251c415e5f884ac7912161358a17c23a302916ec01,8565,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽外国语学院/2026/2026_安徽外国语学院_招生章程.pdf,a52bdfb62275a38b9fc45c8a7d3f2e375fb79c058ab70085bab7f5d15839096f,273634,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽外国语学院/2026/2026_安徽外国语学院_招生章程_text.txt,902434849151457e82f0389aabb66445af891fdcd48bf6593bc88115a26825bd,1848,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2024/2024_安徽工业大学_录取分数线.htm,ef24673a47b0ffec012cd26764a6158430e389dc1b561707efe587bf9ec078a6,106425,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2025/2025_安徽工业大学_录取分数线.htm,336ed1155111be9ebaefb3340f2d876876bee6bba81554c23366573d2bd6619b,110880,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2025/2025_安徽工业大学_招生章程.htm,12277f89c656c75e0af449a66c84bf88e484d986936e8a5718c3ab79ee8d6e6e,8544,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2025/2025_安徽工业大学_招生章程.pdf,91dbaab1831a31657b241e85a28523b919866eb83aa5b053e0a8c90419a6a312,329641,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2025/2025_安徽工业大学_招生章程_text.txt,a0a234e55040b6d19002e2d3d29d87a412a7ac3a72256a8f7cd881a3143c26cb,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2026/2026_安徽工业大学_招生章程.htm,ec3655bba0eaf832113192637a8bf8e84ab1d2f862882f2a353cca0cae93cea2,8544,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2026/2026_安徽工业大学_招生章程.pdf,e90c76b01ef0b383dbd21f492a7682e6454c37d92b87c7becad954369b0d729e,334154,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽工业大学/2026/2026_安徽工业大学_招生章程_text.txt,751a2eaeb9a6adae6c57e1ce0194e8c28279bd8549470f66a32edbb96577e193,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽师范大学/2025/2025_安徽师范大学_招生章程.htm,2a64a777701f1c784bc741070a92ddef4498b337f9e16fb13e09ccb3cb32b0d2,8556,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽师范大学/2025/2025_安徽师范大学_招生章程.pdf,e81f38a851a2cffe38342010db73827a819fae97e2d2fc7bac3243e8ab96c075,340053,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽师范大学/2025/2025_安徽师范大学_招生章程_text.txt,cd59f9ce6722ae7d87d933a34691b0d062a09adfe09f31b3f4292d83034d01c4,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽师范大学/2026/2026_安徽师范大学_招生章程.htm,68775bb2853f1cef689ed7d66d05010b6073b1e6a8cc50039411582e73512dc1,8556,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽师范大学/2026/2026_安徽师范大学_招生章程.pdf,57a3cb813929396258edbd82b593b0d8ec9bdc7124321707dfea8c523eb02d0d,280342,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽师范大学/2026/2026_安徽师范大学_招生章程_text.txt,a7aa88444bcf26c6ad10addee634b3262c399148604eb6c7c69693f0703ea3d4,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽建筑大学/2025/2025_安徽建筑大学_招生章程.htm,a7cd8df05feada1b8edba4d19d424b1f93da33f7d9943f7c32c5707c8719bdf9,8556,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽建筑大学/2025/2025_安徽建筑大学_招生章程.pdf,b55a3d293b05e5c0921aa01e2bc22522206adf6817b3382de3767a04c4e7f430,238163,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽建筑大学/2025/2025_安徽建筑大学_招生章程_text.txt,a37030012f56b6c56eb29fa69897739bb76524f00c49343580c1f65dafe45c16,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽建筑大学/2026/2026_安徽建筑大学_招生章程.htm,8b567355f6c414de76292402f455b20fef7637762c8855aae49df0c6265521da,8556,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽建筑大学/2026/2026_安徽建筑大学_招生章程.pdf,bf5aa301957814ac40ce59e84c755a97243ad4e5f41bc698f17e405060e10084,444074,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽建筑大学/2026/2026_安徽建筑大学_招生章程_text.txt,0ef28b7478714fa4628a30dbfa95822feee9eb9110e1ddb588eb07c4b3c4e519,1839,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽文达信息工程学院/2025/2025_安徽文达信息工程学院_招生章程.htm,029957dcee0184e9f64cfc310fb8c2ea07a063c098f790760dda622e03f0d9f4,8604,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽文达信息工程学院/2025/2025_安徽文达信息工程学院_招生章程.pdf,39f08ca1e248bdea9a22b24920f6bc77bcbc237cb2ebe45578c2ef4f635ca28e,246797,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽文达信息工程学院/2025/2025_安徽文达信息工程学院_招生章程_text.txt,9f50b297a0aa57474c14b60641a88b215794aa5480147ef44f063341fd0a210c,1887,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽文达信息工程学院/2026/2026_安徽文达信息工程学院_招生章程.htm,926f403dd0025e2e3a37ce972255229f7fde6388fbc9488fbaf65d8e324e9778,8604,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽文达信息工程学院/2026/2026_安徽文达信息工程学院_招生章程.pdf,2bcbf2a162257bdd20a8c4fdc4e2bbf6de6464737d91d5340fb97af427ea985e,206894,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽文达信息工程学院/2026/2026_安徽文达信息工程学院_招生章程_text.txt,14637be85c09c3acd56ee2e08e6ff7c3f6e72c77d2a133cd730c65e76801a98f,1887,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽新华学院/2025/2025_安徽新华学院_招生章程.htm,332d32ec364d52e700ea3a014eee590a4f11f231a17278bf60592889b766690a,8544,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽新华学院/2025/2025_安徽新华学院_招生章程.pdf,998ad820d9b0236a0fb8c8d2136c49de8ad0791fb150ea93b5e4cf847082944a,241518,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽新华学院/2025/2025_安徽新华学院_招生章程_text.txt,912abd8271bd29101ea65023ff128fc82d966ff7913e0cb54b7f2edb14e9f163,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽新华学院/2026/2026_安徽新华学院_招生章程.htm,3982472353518727c8d246fd539e627cb4a413e3c52d35b7f0b9cace50b0ccb3,8544,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽新华学院/2026/2026_安徽新华学院_招生章程.pdf,25699e94559ade7c4a677514998069d1cc904464bcca04e706645fa0862712a4,241957,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽新华学院/2026/2026_安徽新华学院_招生章程_text.txt,bcda9b357eb8c9c33ce8e59cfc6d28aa719e7ac9f27c97b72d0a0d7c14ee18f1,1827,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽新华学院/2026/2026_安徽新华学院_考试大纲.htm,f8adcdd4fcc2218d8d8b8866d188a38e2184bef36a169de40d244d625b44c12c,15771,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽理工大学/2025/2025_安徽理工大学_招生章程.htm,bf29782a5085b829a8d76bc985a4d6d046f2bb0dbc86498dbbe91c70d8aecc3a,8568,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽理工大学/2025/2025_安徽理工大学_招生章程.pdf,a04ba286780fe70d7613f46e1172675dfecdc5150ea5f1489f0f70888bf9b05a,190392,0o444
anhui_zsb_data/raw_acquisition/institutions/安徽理工大学/2025/2025_安徽理工大学_招生章程_text.txt,47e970d223c76bc03757a4f5b6d8ab4627c4b854aecc9171688aacca4020c4f9,1851,0o444
