record_id,original_path,evidence_path,sha256,size_bytes,status
LOCAL-1fd3ad6d83d77bf2,anhui_zsb_data/raw_acquisition/institutions/淮南师范学院/2025/2025_淮南师范学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/HNNU/2025/admission_policy/DOC-HNNU-2025-admission_policy-local-957f4b33ba62-1fd3ad6d.txt,957f4b33ba627261964bc1f0082217052c1b5d3439afb4749b725c102069e8a2,1827,copied_local_only
LOCAL-d40f008cf5ee6c9a,anhui_zsb_data/raw_acquisition/institutions/淮南师范学院/2026/2026_淮南师范学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/HNNU/2026/admission_policy/DOC-HNNU-2026-admission_policy-local-34a98125923c-d40f008c.htm,34a98125923ccd72cb778daae3876bcd56238147a81dda3896aac03ac4221c09,8544,copied_local_only
LOCAL-6cb9f372de86a13a,anhui_zsb_data/raw_acquisition/institutions/淮南师范学院/2026/2026_淮南师范学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/HNNU/2026/admission_policy/DOC-HNNU-2026-admission_policy-local-87255416bf57-6cb9f372.pdf,87255416bf57efa22b26970c2a5186c5a38eb50ee25494478b32a39f05761ad6,298087,copied_local_only
LOCAL-9913e26758b0144a,anhui_zsb_data/raw_acquisition/institutions/淮南师范学院/2026/2026_淮南师范学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/HNNU/2026/admission_policy/DOC-HNNU-2026-admission_policy-local-0fa59a7172a9-9913e267.txt,0fa59a7172a92c892de6592076c05a5f7ab071f8d090d8380f6203744b880203,1827,copied_local_only
LOCAL-91da83e50cda42ae,anhui_zsb_data/raw_acquisition/institutions/滁州学院/2025/2025_滁州学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/CHZU/2025/admission_policy/DOC-CHZU-2025-admission_policy-local-15202dff3246-91da83e5.htm,15202dff324615d900dd69f82541819cb8dfd27f56720022530c85c87a38972d,8520,copied_local_only
LOCAL-23197217d5c13b8a,anhui_zsb_data/raw_acquisition/institutions/滁州学院/2025/2025_滁州学院_招生章程.pdf,anhui_zsb_data/evidence/full_raw_30_schools/CHZU/2025/admission_policy/DOC-CHZU-2025-admission_policy-1f4a61fbfd.pdf,060a4465dd5e87a7703ed411a0228a19388aba7759e094c6bfbcee1462f553c0,248277,already_in_remote_evidence
LOCAL-91e3c99e1b4c9a21,anhui_zsb_data/raw_acquisition/institutions/滁州学院/2025/2025_滁州学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/CHZU/2025/admission_policy/DOC-CHZU-2025-admission_policy-local-e456028c63ea-91e3c99e.txt,e456028c63ea56b18b4be3b4cda01e032dea94587fdd7b0e1958d932a6037b5b,1803,copied_local_only
LOCAL-77a72c2caa474733,anhui_zsb_data/raw_acquisition/institutions/滁州学院/2026/2026_滁州学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/CHZU/2026/admission_policy/DOC-CHZU-2026-admission_policy-local-418c3ed2eab1-77a72c2c.htm,418c3ed2eab12f053ab2d96fa4560ef39efa42648432ef10c5e93f3c6bce7450,8520,copied_local_only
LOCAL-3ea2ba4b1f437f43,anhui_zsb_data/raw_acquisition/institutions/滁州学院/2026/2026_滁州学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/CHZU/2026/admission_policy/DOC-CHZU-2026-admission_policy-local-b1fb0b12d88d-3ea2ba4b.pdf,b1fb0b12d88d7cb3792f944ecc7d8fdc21abce50bbb4e3b568d2626dbabf65a5,251074,copied_local_only
LOCAL-62a2c5d6a5d8e3bc,anhui_zsb_data/raw_acquisition/institutions/滁州学院/2026/2026_滁州学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/CHZU/2026/admission_policy/DOC-CHZU-2026-admission_policy-local-587ac5115d28-62a2c5d6.txt,587ac5115d2865344f897dbf7fa0564cc00fa25940a33365b4c25b99584ef21d,1803,copied_local_only
LOCAL-4a7c1e503f113e91,anhui_zsb_data/raw_acquisition/institutions/皖南医学院/2025/2025_皖南医学院_录取分数线.htm,anhui_zsb_data/evidence/local_reconciliation/schools/WNMC/2025/admission_min_score/DOC-WNMC-2025-admission_min_score-local-855d1286756b-4a7c1e50.htm,855d1286756b03310220464358996be047a78ecbdadb37363c442a18fbc5d3ba,23747,copied_local_only
LOCAL-8f9e80196e4e6d81,anhui_zsb_data/raw_acquisition/institutions/皖南医科大学/2025/2025_皖南医科大学_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/WNMC/2025/admission_policy/DOC-WNMC-2025-admission_policy-local-2bacd8d48135-8f9e8019.htm,2bacd8d4813525f3d0bfc393e9dab8580c859ab3cf2e539caafd859dd30de468,8526,copied_local_only
LOCAL-929b5a33ababbeda,anhui_zsb_data/raw_acquisition/institutions/皖南医科大学/2025/2025_皖南医科大学_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/WNMC/2025/admission_policy/DOC-WNMC-2025-admission_policy-local-a0ea00792969-929b5a33.pdf,a0ea00792969da29176b0afab5a4965fa08a96962a7633d579c9e5e61bbee2ed,203966,copied_local_only
LOCAL-1ee33f39dfa71dd1,anhui_zsb_data/raw_acquisition/institutions/皖南医科大学/2025/2025_皖南医科大学_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/WNMC/2025/admission_policy/DOC-WNMC-2025-admission_policy-local-7ebe844c3473-1ee33f39.txt,7ebe844c34739c5541e08e7c88cc8376f87720e9917e6aa487b6f633c22724b7,1809,copied_local_only
LOCAL-95c2f00659cbce83,anhui_zsb_data/raw_acquisition/institutions/皖南医科大学/2026/2026_皖南医科大学_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/WNMC/2026/admission_policy/DOC-WNMC-2026-admission_policy-local-40a02cd4e289-95c2f006.htm,40a02cd4e289c6887be99a8e5db2f35e2148c6664ea92a87752685cdd3dfaefa,8544,copied_local_only
LOCAL-39a51e56d958ef68,anhui_zsb_data/raw_acquisition/institutions/皖南医科大学/2026/2026_皖南医科大学_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/WNMC/2026/admission_policy/DOC-WNMC-2026-admission_policy-local-f6df4cc9cc4f-39a51e56.pdf,f6df4cc9cc4f1a16e68f920726f32501262126ea2eb73760698630759d175904,202655,copied_local_only
LOCAL-ce738854681081a6,anhui_zsb_data/raw_acquisition/institutions/皖南医科大学/2026/2026_皖南医科大学_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/WNMC/2026/admission_policy/DOC-WNMC-2026-admission_policy-local-74aa0fc66ea3-ce738854.txt,74aa0fc66ea35460e7f2d092ba9260e0bfb3a4bc5b3066440a6ba34fa9c555d0,1827,copied_local_only
LOCAL-1fd80f10787c19a6,anhui_zsb_data/raw_acquisition/institutions/皖江工学院/2025/2025_皖江工学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/WJIT/2025/admission_policy/DOC-WJIT-2025-admission_policy-local-bf30bf81f0ed-1fd80f10.htm,bf30bf81f0ed254bc254ab77f893e613c9f1ceb0a94091d2b46c0c827329bae7,8520,copied_local_only
LOCAL-412ce9fa68e93d6b,anhui_zsb_data/raw_acquisition/institutions/皖江工学院/2025/2025_皖江工学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/WJIT/2025/admission_policy/DOC-WJIT-2025-admission_policy-local-7c85dd80a6e3-412ce9fa.pdf,7c85dd80a6e35841c0f7a1f4ccd30c1c0f6a59655e7e85a12138238abe05b25a,229817,copied_local_only
LOCAL-e496d2013d7dfe8a,anhui_zsb_data/raw_acquisition/institutions/皖江工学院/2025/2025_皖江工学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/WJIT/2025/admission_policy/DOC-WJIT-2025-admission_policy-local-14ff8e0aa315-e496d201.txt,14ff8e0aa31570167afe4425d6e206512030ac18fc485d4751219d2eb529e929,1803,copied_local_only
LOCAL-7ad0f58d4386659b,anhui_zsb_data/raw_acquisition/institutions/皖江工学院/2026/2026_皖江工学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/WJIT/2026/admission_policy/DOC-WJIT-2026-admission_policy-local-e407e22d2475-7ad0f58d.htm,e407e22d24755ada6c4a06975f30c1078b4fe99216bbfaf1a9c68430108f11d1,8520,copied_local_only
LOCAL-041363b3664b3fe3,anhui_zsb_data/raw_acquisition/institutions/皖江工学院/2026/2026_皖江工学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/WJIT/2026/admission_policy/DOC-WJIT-2026-admission_policy-local-6bd28dae2c43-041363b3.pdf,6bd28dae2c439030764f1acfcc2ae048c760693aa526899c0274898b36a91189,241292,copied_local_only
LOCAL-b105f8528d79153b,anhui_zsb_data/raw_acquisition/institutions/皖江工学院/2026/2026_皖江工学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/WJIT/2026/admission_policy/DOC-WJIT-2026-admission_policy-local-1e5afc02b3c7-b105f852.txt,1e5afc02b3c799eb9325115c2dca6c908dbf5a4bae5b38b8f12d14593276a0cc,1803,copied_local_only
LOCAL-89355f5abf5f3a81,anhui_zsb_data/raw_acquisition/institutions/皖西学院/2025/2025_皖西学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/WXC/2025/admission_policy/DOC-WXC-2025-admission_policy-local-652a54c3292e-89355f5a.htm,652a54c3292ee1eac21be10bdd710adecbff7381f58e48f55b5dbe179df66240,8526,copied_local_only
LOCAL-64e14caa52af0946,anhui_zsb_data/raw_acquisition/institutions/皖西学院/2025/2025_皖西学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/WXC/2025/admission_policy/DOC-WXC-2025-admission_policy-local-7cbee30776a5-64e14caa.pdf,7cbee30776a5647432340cb92eeb31da090f866c78114e1bf33da4c007e37fbd,421966,copied_local_only
LOCAL-f1fbc1b14e566740,anhui_zsb_data/raw_acquisition/institutions/皖西学院/2025/2025_皖西学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/WXC/2025/admission_policy/DOC-WXC-2025-admission_policy-local-e456028c63ea-f1fbc1b1.txt,e456028c63ea56b18b4be3b4cda01e032dea94587fdd7b0e1958d932a6037b5b,1803,copied_local_only
LOCAL-cf69c84e935194bb,anhui_zsb_data/raw_acquisition/institutions/皖西学院/2026/2026_皖西学院_招生章程.htm,anhui_zsb_data/evidence/local_reconciliation/schools/WXC/2026/admission_policy/DOC-WXC-2026-admission_policy-local-c2ced8beaf11-cf69c84e.htm,c2ced8beaf11b75aab0ac6cb76b3c8b1fecb119442596e151d714c1921f69b24,8520,copied_local_only
LOCAL-e2dbfbe38f629181,anhui_zsb_data/raw_acquisition/institutions/皖西学院/2026/2026_皖西学院_招生章程.pdf,anhui_zsb_data/evidence/local_reconciliation/schools/WXC/2026/admission_policy/DOC-WXC-2026-admission_policy-local-4986b2d51fb1-e2dbfbe3.pdf,4986b2d51fb170a8ecc1a7c2c29d5c6d208cf562b730a7c1091a8d868d8f9091,329025,copied_local_only
LOCAL-1e37447cc2576215,anhui_zsb_data/raw_acquisition/institutions/皖西学院/2026/2026_皖西学院_招生章程_text.txt,anhui_zsb_data/evidence/local_reconciliation/schools/WXC/2026/admission_policy/DOC-WXC-2026-admission_policy-local-587ac5115d28-1e37447c.txt,587ac5115d2865344f897dbf7fa0564cc00fa25940a33365b4c25b99584ef21d,1803,copied_local_only
